exit_status,node_layout___info_type__,reader__appid,reader__configFile,reader__decomposition,reader__nprocs,reader__scaling,reader__walltime_savanna,reader__xmlfile,run_dir,total_workflow_walltime_savanna,user,writer__appid,writer__configFile,writer__decomposition,writer__nprocs,writer__scaling,writer__walltime_savanna,writer__xmlfile
timeout,NodeConfig,2,staging-perf-test-512MB-8to1.txt,32,32,,19.7,staging-perf-test-sst-ffs.xml,campaign/eisen/8-nodes/run-0.iteration-0,N/A,eisen,1,staging-perf-test-512MB-8to1.txt,256,256,,330.04,staging-perf-test-sst-ffs.xml
timeout,NodeConfig,2,staging-perf-test-512MB-8to1.txt,32,32,,3.53,staging-perf-test-sst-ffs.xml,campaign/eisen/8-nodes/run-1.iteration-0,N/A,eisen,1,staging-perf-test-512MB-8to1.txt,256,256,,330.04,staging-perf-test-sst-ffs.xml
timeout,NodeConfig,2,staging-perf-test-512MB-8to1.txt,32,32,,2.97,staging-perf-test-sst-bp.xml,campaign/eisen/8-nodes/run-2.iteration-0,N/A,eisen,1,staging-perf-test-512MB-8to1.txt,256,256,,330.04,staging-perf-test-sst-bp.xml
timeout,NodeConfig,2,staging-perf-test-512MB-8to1.txt,32,32,,3.33,staging-perf-test-sst-bp.xml,campaign/eisen/8-nodes/run-3.iteration-0,N/A,eisen,1,staging-perf-test-512MB-8to1.txt,256,256,,330.04,staging-perf-test-sst-bp.xml
succeeded,NodeConfig,2,staging-perf-test-16MB-8to1.txt,32,32,,2.92,staging-perf-test-sst-ffs.xml,campaign/eisen/8-nodes/run-4.iteration-0,N/A,eisen,1,staging-perf-test-16MB-8to1.txt,256,256,,24.8,staging-perf-test-sst-ffs.xml
succeeded,NodeConfig,2,staging-perf-test-16MB-8to1.txt,32,32,,3.37,staging-perf-test-sst-ffs.xml,campaign/eisen/8-nodes/run-5.iteration-0,N/A,eisen,1,staging-perf-test-16MB-8to1.txt,256,256,,25.16,staging-perf-test-sst-ffs.xml
succeeded,NodeConfig,2,staging-perf-test-16MB-8to1.txt,32,32,,2.92,staging-perf-test-sst-bp.xml,campaign/eisen/8-nodes/run-6.iteration-0,N/A,eisen,1,staging-perf-test-16MB-8to1.txt,256,256,,36.02,staging-perf-test-sst-bp.xml
succeeded,NodeConfig,2,staging-perf-test-16MB-8to1.txt,32,32,,3.32,staging-perf-test-sst-bp.xml,campaign/eisen/8-nodes/run-7.iteration-0,N/A,eisen,1,staging-perf-test-16MB-8to1.txt,256,256,,36.52,staging-perf-test-sst-bp.xml
succeeded,NodeConfig,2,staging-perf-test-1MB-8to1.txt,32,32,,2.92,staging-perf-test-sst-ffs.xml,campaign/eisen/8-nodes/run-8.iteration-0,N/A,eisen,1,staging-perf-test-1MB-8to1.txt,256,256,,5.63,staging-perf-test-sst-ffs.xml
succeeded,NodeConfig,2,staging-perf-test-1MB-8to1.txt,32,32,,3.43,staging-perf-test-sst-ffs.xml,campaign/eisen/8-nodes/run-9.iteration-0,N/A,eisen,1,staging-perf-test-1MB-8to1.txt,256,256,,11.04,staging-perf-test-sst-ffs.xml
succeeded,NodeConfig,2,staging-perf-test-1MB-8to1.txt,32,32,,3.02,staging-perf-test-sst-bp.xml,campaign/eisen/8-nodes/run-10.iteration-0,N/A,eisen,1,staging-perf-test-1MB-8to1.txt,256,256,,7.93,staging-perf-test-sst-bp.xml
succeeded,NodeConfig,2,staging-perf-test-1MB-8to1.txt,32,32,,3.53,staging-perf-test-sst-bp.xml,campaign/eisen/8-nodes/run-11.iteration-0,N/A,eisen,1,staging-perf-test-1MB-8to1.txt,256,256,,8.43,staging-perf-test-sst-bp.xml
